Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,
Tunisia,TUN,Agricultural raw materials exports (% of merchandise exports),TX.VAL.AGRI.ZS.UN,,,5.09076100387307,4.97538198625679,4.82986904473414,6.02683374123527,5.76125782531264,5.48140615941221,5.56595122573058,5.68322380324305,4.68355315152487,3.71852347496996,2.84635164335975,2.68818413580146,1.87894803957881,1.559561568116,1.80876996282077,1.99877523859069,2.05501196431931,1.17738319982802,0.879182759252998,0.725023719630131,0.90278148944308,0.902888882269736,0.722448907516379,0.83011340253158,0.747383790860247,0.830344957287581,0.912582824921548,0.962409872998308,0.952009173998901,0.747860773977631,0.60700753366231,0.604980252788331,0.57546572556575,0.646183872100345,0.736807846475347,0.696955531991834,0.596384382299379,0.602041828210061,0.659612816419286,0.713295892174105,0.719937999672792,0.782150908316559,0.676121351377367,0.638121475448996,0.617548795437987,0.479819250176859,0.471553038509734,0.48933437598983,0.500830191080498,0.468364139894656,0.486761887984378,0.449551661430463,0.499021177937101,0.622243121444741,0.708254230153675,0.54512366831764,,,
Tunisia,TUN,Medium and high-tech exports (% manufactured exports),TX.MNF.TECH.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.6230641704602,21.3034920279222,21.2011929967606,21.2670594847229,19.2242936786604,20.165829194748,21.0227615843444,20.6974600529107,23.0580450586469,22.9808088397744,24.8260869749759,26.6910627126874,27.4377035315219,28.1618059196407,29.5464938931166,31.409195401396,32.3273592798677,34.2987634959057,39.2113672804435,39.637260782426,45.0165359606083,45.7978955017105,45.2843502365486,46.816472885454,49.0947500039669,47.3707472015551,51.8670204887388,51.953779911338,,,
Tunisia,TUN,Import value index (2000 = 100),TM.VAL.MRCH.XD.WD,,,,,,,,,,,,,,,,,,,,,41.15442261,44.2567189,39.91628224,36.26197636,37.5995695,32.17635825,33.73503539,35.46938909,43.05791607,51.21397755,64.34758045,60.57526194,75.07108772,71.8246316,76.81699755,92.25038754,89.89503763,92.77158079,97.47014082,98.92271165,100,111.2306931,111.195441,127.3497469,149.6192313,153.8132903,175.1780812,222.9443275,287.6003516,222.906986,259.3168341,279.5898273,285.641984,283.2536466,289.4052444,236.0362702,227.1747645,241.0877588,265.0459796,,
Tunisia,TUN,Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14353827029529,0.133345766962187,0.124715015838571,0.116892032695316,0.109602622982633,0.103621072745824,0.0992816864077638,0.0976978488024025,0.0980927493792872,0.10013380518766,0.102299876170555,0.10498901505062,0.107529648307613,0.109985342637671,0.110316221800649,0.109494503953516,0.106584857114498,0.102812078352016,,,
Tunisia,TUN,"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,0.1,,,,,0.125,,,,,0.169,,,,,0.169,,,,,0.271,0.275,,,,,0.461,,,,0.5374,0.5346,0.5927,0.5984,0.5967,0.6545,0.6674,0.6888,0.7178,0.7444,0.7675,0.7937,0.8074,0.8239,1.3307,0.9326,,1.0248,1.1082,,1.2214,,,,1.2677,1.2999,1.2722,,,,
Tunisia,TUN,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,2.4676616191864,,,,,,,,,,2.44429993629456,,,,,2.5,,,,,2.12579989433289,,,,,,,,,1.96570003032684,1.9167000055,2.0123000145,2.8573000431,,1.761500001,,2,1.7000000477,,,1.7,1.7,1.7,1.7,2.1,1.8,2,1.8,2,2.1,2.1,2.1,2.1,2.1,2.2,2.3,,,,,
Tunisia,TUN,"Mortality rate, neonatal (per 1,000 live births)",SH.DYN.NMRT,,,,,,50.8,50.1,49.5,49.1,48.6,48,47.3,46.3,45.1,43.7,42.2,40.6,39,37.6,36.3,35.3,34.3,33.3,32.4,31.5,30.7,30.1,29.6,29.3,29.1,29,29,28.9,28.8,28.4,27.5,26.3,24.9,23.2,21.5,19.9,18.5,17.1,16,14.9,14.1,13.5,13,12.7,12.4,12.1,11.9,11.7,11.5,11.4,11.3,11.4,11.5,11.5,,
Tunisia,TUN,"Cause of death, by non-communicable diseases (% of total)",SH.DTH.NCOM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.5,,,,,,,,,,84.4,,,,,85.5,85.8,,,,
Tunisia,TUN,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0.007379544,0.011191954,0.027615372,0.043656974,0.107940957,1.602494764,2.75074029298135,4.29796603474685,5.25288729548421,6.49084579532797,8.52881775162591,9.65508654217982,12.9864086534204,17.1,27.53,34.07,36.8,39.1,41.4416,43.8,46.16,46.5,49.59999484,64.1908102327387,64.1908102327387,,
Tunisia,TUN,"Use of IMF credit (DOD, current US$)",DT.DOD.DIMF.CD,,,,,,,,,,,13270000,2779000,0,0,0,0,0,29100000,31300000,31600000,0,0,0,0,0,0,183120000,270552648.6,276823947,270335853.6,176025721.8,257620452.8,290193750,284738978,302626895.4,292999073.1,237267718.6,173228853,129221956.3,122707881.5,76848237.6,43034205.4,46554043.4,50884070.7,53179721.4,48942492.6,51515169.2,54112500.8,52743465.6,427627867.3,420082889.1,418784476.4,419234556.4,572226705.8,1536681775.4,1767534644,1987078371,2105458564.1,2280234765.6,,
Tunisia,TUN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,37.511,37.95,38.391,38.833,39.279,39.724,40.23,41.036,41.848,42.662,43.482,44.305,45.132,45.959,46.79,47.588,48.184,48.779,49.375,49.972,50.569,51.164,51.76,52.356,53.011,53.839,54.667,55.491,56.314,57.131,57.946,58.756,59.562,60.362,61.078,61.474,61.87,62.262,62.653,63.043,63.432,63.818,64.202,64.585,64.95,65.237,65.524,65.809,66.093,66.376,66.657,66.938,67.218,67.495,67.772,68.056,68.346,68.642,68.945,,
Tunisia,TUN,Urban population growth (annual %),SP.URB.GROW,2.45214249580932,2.58712349258286,2.73172533189814,2.8622971959506,2.97537899797484,3.05415424871621,3.29125892850188,4.10519321868252,4.14417120230819,4.13443407591271,4.10851607464473,4.07210377224208,4.04759440361887,4.02145457523942,4.01561788866665,3.94255177582639,3.50919346569338,3.5079533436748,3.55485652794638,3.65663912130365,3.78266625713392,3.91170391508383,4.00669313063378,4.02275442623947,4.05658791024304,4.23686719691646,4.06231799741367,3.89952689856914,3.77765131109064,3.69734091305972,3.65282295709593,3.61210637602341,3.5454585591301,3.42585620218602,3.11560829290557,2.3870703030164,2.18559493385056,2.00101744527682,1.83985239629408,1.70540467436306,1.5960374461017,1.48404533570622,1.38656955300161,1.34189030590452,1.33481446900194,1.28042859273684,1.36907935472501,1.44360608493215,1.48962317865192,1.48994670034006,1.45786050929049,1.41834727286608,1.39128350810934,1.38325771238548,1.41111604393977,1.46792280135308,1.52821264432785,1.57123406085533,1.58627763614229,,
Tunisia,TUN,Rural population (% of total population),SP.RUR.TOTL.ZS,62.489,62.05,61.609,61.167,60.721,60.276,59.77,58.964,58.152,57.338,56.518,55.695,54.868,54.041,53.21,52.412,51.816,51.221,50.625,50.028,49.431,48.836,48.24,47.644,46.989,46.161,45.333,44.509,43.686,42.869,42.054,41.244,40.438,39.638,38.922,38.526,38.13,37.738,37.347,36.957,36.568,36.182,35.798,35.415,35.05,34.763,34.476,34.191,33.907,33.624,33.343,33.062,32.782,32.505,32.228,31.944,31.654,31.358,31.055,,
Tunisia,TUN,Rural population growth (annual %),SP.RUR.TOTL.ZG,0.583405154232614,0.718570536542187,0.863147028670851,0.997510015433926,1.10160952885489,1.19205470169724,1.18251834013377,0.763822635820696,0.798074784463097,0.79830505330885,0.764243244578774,0.730181060988168,0.70212305365677,0.686931454826324,0.673988431729389,0.740363717608853,1.12084857027049,1.12573996866891,1.17000470443637,1.26853745450246,1.39455505144907,1.53096401202891,1.62062393723729,1.63469253880582,1.42897895596164,0.90918273394942,0.726118318339769,0.569081726683201,0.439032146112981,0.369067500323918,0.316919834780193,0.279043792649156,0.209447692965837,0.0935176877262646,0.113515459463223,0.71820138825171,0.510293778025934,0.33605670932822,0.17229387546599,0.0351324649544364,-0.0772908213184744,-0.18379489508001,-0.280331494499938,-0.32852294978703,-0.264736339550911,0.017335055496372,0.10110395906291,0.179482055948418,0.224905832422207,0.224514162220587,0.19618177404313,0.151347197625371,0.123365368441464,0.123466156858598,0.145697890055289,0.16464032058996,0.191007116773167,0.199568709836768,0.174867288274544,,
